id,genre,track_name,artist_name,valence,energy
6dukhmiEW9k5OZb195VvKC,alt-rock,Batalio rep,Various Artists,0.564,0.749
0W7AbEauB7cP4pidLclApe,alt-rock,Hunger Strike,Temple Of The Dog,0.298,0.567
72mrNRtJL3kwVJP2WIFbsd,alt-rock,I Don't Know You Anymore,Bob Mould,0.538,0.979
69O12Wz4e6bosZWiYajxQu,alt-rock,All Night Long,Therapy,0.697,0.923
4VQcmzxaGAJRHufuiLxCAe,alt-rock,Add It Up,Violent Femmes,0.649,0.763
4pkFvX3AkuiSGPkv8gMlks,alt-rock,Save Me,Remy Zero,0.294,0.971
6vrUTGn5p8IrfTZ0J6sIVM,alt-rock,Iris,The Goo Goo Dolls,0.513,0.79
5ciVbeefBaNOmaDXsN0amO,alt-rock,Everything Is Wrong,Interpol,0.432,0.848
3G0kzHUQGkhgWurrYEOQKd,alt-rock,Yesterday Once More,Various Artists,0.44,0.803
4H88C5eMo7CHorvWy2Hr4q,alt-rock,Somebody To Break Your Heart,Robyn Hitchcock,0.791,0.472
74ODL6xFR2erTu2mvXFIDz,alt-rock,Addicted To Pain,Alter Bridge,0.275,0.991
1ftipfHchfh3Ke8PnPCu0B,alt-rock,Undeniable,Better Than Ezra,0.966,0.787
4L2S9GbwEgwfSbHjTCvNQX,alt-rock,Say Hello 2 Heaven,Temple Of The Dog,0.321,0.647
6KtLECDztnah63TNmV4Plw,alt-rock,Wish You Were Here,Incubus,0.35,0.768
36n3OdHmEJqvWl5Ut2pDtF,alt-rock,Little Black Backpack,Stroke 9,0.311,0.778
7LdKMBKthcdBnAqlAIGqCB,alt-rock,See A Little Light,Bob Mould,0.783,0.774
22N2t0FKbzllN3cyKcLcJs,alt-rock,Shelf In The Room,Days Of The New,0.336,0.594
3vA3kv3NDvOpFQA3bFkGbw,alt-rock,Detachable Penis,King Missile,0.822,0.765
489LqT23pPrC8CqFFH7CPS,alt-rock,The Lonely LP,The Vaselines,0.591,0.853
0jWYqV3YgQ5PjqeZ7qCoOB,alt-rock,If I Were Me,Sound City - Real to Reel,0.361,0.461
351zlSrEZvnCB9Nbxi0dz0,alt-rock,Do It Nation,Half Japanese,0.649,0.968
1OFvNaRHw4QkUzWf1aZw1V,alt-rock,Scooby Snacks,Fun Lovin' Criminals,0.336,0.563
3dN6yDtyNu55dqoygX4AQ5,alt-rock,Nearly Lost You,Screaming Trees,0.334,0.968
